! Library of the LockSchuppen (open to users):


||Titel||Author || ISBN || Owner || lend to 
| Kaizen - Der Schlüssel zum Erfolg der Japaner im Wettbewerb   |MasaakiImai | 3-548-35332-0 | AlexanderFriedland | LockOffice
| Home Made Electronic Arts   | DominikLandwehr | 978-3-85616-462-1 | AlexanderFriedland | LockOffice
| Business Model Generation   | AlexanderOsterwalder | 978-2-8399-0580-0 | RalfLippold | LockOffice
| Helping - How to offer, give, and receive help   | EdgarSchein | 978-1-57675-863-2 | RalfLippold | LockOffice
| Word of Mouth Marketing   | AndySernovitz | 978-4277-9861-9 | RalfLippold | LockOffice
| Optimize Your Operation   | JamesAbbott | 1-887355-04-9 | RalfLippold | LockOffice
| Strategisches Management   | FranzXaverBea JuergenHaas | 3-8252-1458-3 | RalfLippold | LockOffice
| Das einzige was stört ist der Kunde   | EdgarGeffroy | 3-478-22781-x | RalfLippold | LockOffice
| Service Design   | BirgitMager MichaelGais | - | JensKrzywinski (SlubDresden) | LockOffice
| Change by Design   | TimBrown | 978-0-06-176608-4 | JensKrzywinski (SlubDresden) | LockOffice
| cell1   | cell2 | cell3 | cell4 | cell5
